Age,Attrition,Department,Education,Gender,JobLevel,JobSatisfaction,MonthlyIncome,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager
33,Yes,Research & Development,1,Male,3,3,13610,15,4,7,6,7
33,Yes,Research & Development,1,Male,1,4,3408,8,3,4,3,3
30,No,Sales,1,Male,1,2,2983,4,3,3,2,2
35,No,Research & Development,3,Male,3,3,7632,10,3,8,7,0
31,Yes,Research & Development,3,Male,3,3,9824,12,3,1,0,0
34,Yes,Human Resources,3,Female,3,1,9950,11,3,3,2,2
42,No,Research & Development,2,Male,1,3,2093,8,3,2,2,0
36,No,Sales,4,Male,3,4,9980,10,2,10,3,7
22,Yes,Research & Development,1,Male,1,3,3894,4,3,2,2,2
48,No,Sales,5,Female,2,4,4051,14,3,9,7,7
55,No,Sales,5,Female,4,2,16835,37,3,10,9,7
41,No,Sales,2,Male,2,4,6230,16,3,14,3,10
35,No,Sales,3,Male,2,3,4717,15,3,11,9,9
40,No,Research & Development,3,Female,4,3,13237,22,3,20,6,13
39,No,Research & Development,1,Female,1,3,3755,8,3,8,3,7
31,No,Sales,1,Male,2,4,6582,10,4,6,5,5
42,No,Research & Development,3,Male,3,1,7406,10,2,10,9,8
45,No,Sales,3,Male,2,2,4805,9,4,8,7,7
26,Yes,Human Resources,4,Female,1,3,2741,8,2,7,7,0
29,No,Research & Development,3,Male,2,4,4262,8,4,3,2,2
33,No,Research & Development,5,Female,4,3,16184,10,3,6,1,5
31,No,Sales,3,Male,3,4,11557,10,2,5,4,1
18,Yes,Sales,3,Male,1,2,1878,0,3,0,0,0
40,No,Sales,3,Male,3,1,10932,20,3,1,0,1
41,No,Research & Development,4,Female,2,3,6811,10,3,8,7,7
26,No,Sales,2,Male,2,3,4306,8,3,0,0,0
35,No,Sales,3,Female,2,3,4859,5,3,5,4,3
34,No,Sales,4,Male,2,4,5337,10,3,10,7,7
26,Yes,Research & Development,3,Male,1,4,2340,1,1,1,0,0
37,No,Research & Development,3,Female,3,4,7491,12,4,6,5,2
46,No,Research & Development,1,Female,3,3,10527,28,2,2,2,2
41,No,Sales,5,Female,4,1,16595,22,3,18,16,8
37,No,Sales,4,Male,3,2,8834,9,3,9,5,7
52,No,Research & Development,2,Male,2,1,5577,18,3,10,9,9
32,Yes,Sales,4,Male,2,3,4707,6,3,4,2,2
24,No,Sales,3,Male,1,4,2400,3,3,2,2,1
38,No,Research & Development,3,Female,2,3,9824,18,3,1,0,0
37,No,Research & Development,4,Female,2,2,6447,8,2,6,5,3
49,No,Research & Development,4,Male,5,3,19502,31,3,31,9,9
24,No,Research & Development,3,Male,1,4,2725,6,3,6,5,4
26,No,Sales,2,Male,2,2,6272,6,4,5,3,4
24,No,Research & Development,2,Male,1,2,2127,1,3,1,0,0
50,No,Human Resources,3,Male,5,2,18200,32,3,32,5,7
25,No,Sales,1,Male,1,3,2096,7,3,7,4,6
24,Yes,Research & Development,3,Female,1,3,2886,6,3,6,3,2
30,Yes,Sales,4,Male,1,1,2033,1,4,1,0,0
34,No,Research & Development,2,Male,1,4,3622,6,3,6,5,3
31,Yes,Sales,4,Male,2,1,4233,9,1,3,1,2
35,No,Research & Development,2,Male,2,4,3681,9,3,3,2,2
31,No,Sales,4,Male,2,4,5460,13,4,7,7,7
27,No,Research & Development,4,Female,1,3,2187,6,2,5,3,3
37,No,Sales,3,Male,2,3,9602,17,2,3,0,0
20,No,Research & Development,3,Female,1,2,2836,1,4,1,0,0
42,No,Research & Development,4,Female,2,4,4089,10,3,10,2,2
43,No,Research & Development,4,Male,4,4,16627,21,2,1,0,0
38,No,Research & Development,1,Female,1,1,2619,8,2,0,0,0
43,No,Research & Development,5,Male,2,3,5679,10,3,8,7,7
48,No,Research & Development,4,Female,4,1,15402,21,1,3,2,2
44,No,Human Resources,4,Female,2,3,5985,10,4,2,2,2
34,No,Sales,3,Female,1,3,2579,8,3,8,2,6
27,Yes,Sales,1,Male,1,1,3041,5,3,4,3,2
21,No,Sales,1,Male,1,3,3447,3,3,3,2,2
44,No,Research & Development,4,Male,5,4,19513,26,4,2,2,1
22,No,Research & Development,1,Male,1,3,2773,3,3,2,2,2
33,No,Sales,4,Male,2,3,7104,6,3,5,0,2
32,No,Research & Development,4,Female,2,4,6322,6,2,6,4,5
30,No,Research & Development,3,Female,1,3,2083,1,3,1,0,0
53,No,Sales,1,Female,2,1,8381,18,4,14,7,10
34,No,Research & Development,5,Male,1,4,2691,10,2,10,9,8
45,Yes,Sales,4,Female,2,1,4286,5,3,1,1,0
26,No,Research & Development,3,Female,1,4,2659,3,3,3,2,2
37,No,Research & Development,3,Male,3,3,9434,10,3,10,7,8
29,No,Sales,2,Female,2,3,5561,6,2,6,0,2
35,No,Research & Development,4,Male,2,4,6646,17,3,17,11,8
33,No,Research & Development,3,Male,2,4,7725,15,1,13,11,7
54,No,Human Resources,4,Male,3,2,10725,16,4,9,7,1
36,No,Research & Development,2,Male,2,2,8847,13,3,3,2,2
27,No,Research & Development,4,Male,1,4,2045,5,3,4,2,1
20,Yes,Research & Development,1,Male,1,3,1009,1,3,1,0,1
33,Yes,Research & Development,3,Male,1,1,3348,10,3,10,8,7
35,No,Research & Development,3,Male,1,3,1281,1,3,1,0,0
23,No,Research & Development,3,Male,1,1,2819,5,4,3,2,2
25,No,Sales,3,Male,2,2,4851,4,3,3,2,2
38,No,Sales,4,Female,2,4,4028,8,3,7,7,5
29,No,Research & Development,4,Male,1,4,2720,10,3,10,7,8
48,No,Sales,1,Male,2,2,8120,12,3,2,2,2
27,No,Sales,1,Female,2,4,4647,6,3,6,5,4
37,No,Research & Development,2,Male,1,4,4680,4,3,1,0,0
50,No,Research & Development,1,Male,1,3,3221,20,3,20,8,8
34,No,Research & Development,3,Female,3,2,8621,9,4,8,7,7
24,Yes,Sales,2,Female,2,3,4577,4,3,2,2,0
39,No,Research & Development,4,Female,2,3,4553,20,3,20,7,10
32,No,Sales,3,Male,2,4,5396,10,2,10,7,8
50,Yes,Sales,2,Male,2,3,6796,18,3,4,3,3
38,No,Research & Development,4,Female,2,4,7625,10,2,9,7,8
27,No,Research & Development,2,Female,3,1,7412,9,3,9,7,7
32,No,Research & Development,2,Female,3,4,11159,10,3,7,7,7
47,No,Sales,4,Male,2,1,4960,20,3,7,7,7
40,No,Sales,4,Male,3,1,10475,20,3,18,13,12
53,No,Research & Development,3,Male,4,3,14814,32,3,5,1,3
41,No,Human Resources,4,Male,5,4,19141,23,2,21,6,6
60,No,Sales,4,Male,2,1,5405,10,3,2,2,2
27,No,Research & Development,2,Male,3,1,8793,9,2,9,7,7
41,No,Human Resources,3,Male,5,3,19189,22,3,22,7,10
50,No,Sales,4,Male,1,2,3875,4,3,2,2,2
28,Yes,Research & Development,2,Female,1,2,2216,10,3,7,7,7
36,No,Research & Development,3,Female,3,1,11713,10,3,8,7,5
38,No,Research & Development,3,Female,3,3,7861,10,4,1,0,0
44,No,Research & Development,3,Male,1,3,3708,9,3,5,2,4
47,No,Sales,3,Female,4,3,13770,28,2,22,2,13
30,No,Sales,5,Male,2,4,5304,10,2,8,7,7
29,No,Sales,3,Male,1,3,2642,1,3,1,0,0
42,Yes,Research & Development,3,Male,1,3,2759,7,3,2,2,2
43,No,Sales,3,Male,2,4,6804,7,3,2,2,2
34,No,Research & Development,2,Female,2,3,6142,10,3,5,1,3
23,No,Research & Development,1,Male,1,1,2500,5,4,4,3,2
39,No,Human Resources,3,Female,2,2,6389,12,1,8,3,6
56,No,Research & Development,3,Male,4,4,11103,30,2,10,7,1
40,No,Research & Development,1,Female,1,4,2342,5,2,4,2,3
27,No,Research & Development,3,Female,2,1,6811,9,1,7,6,7
29,No,Sales,3,Male,1,2,2297,2,3,2,2,2
53,No,Research & Development,3,Male,2,4,2450,19,3,2,2,2
35,No,Research & Development,4,Female,2,1,5093,16,4,1,0,0
32,No,Research & Development,4,Male,2,4,5309,10,3,10,8,7
38,No,Research & Development,5,Male,1,3,3057,6,1,1,0,1
34,No,Research & Development,5,Female,2,1,5121,7,3,0,0,0
52,No,Sales,4,Male,4,1,16856,34,4,34,6,16
33,Yes,Research & Development,4,Male,1,4,2686,10,2,10,9,8
25,No,Sales,1,Female,2,4,6180,6,2,6,5,4
45,No,Sales,2,Male,2,3,6632,9,3,8,7,1
23,No,Research & Development,1,Male,1,3,3505,2,3,2,2,2
47,Yes,Sales,2,Female,2,3,6397,8,3,5,4,3
34,No,Sales,3,Male,2,4,6274,6,3,6,5,4
55,Yes,Research & Development,3,Male,5,1,19859,24,3,5,2,4
36,No,Sales,4,Male,3,1,7587,10,3,10,7,9
52,No,Research & Development,4,Male,1,4,4258,5,3,4,3,2
26,No,Research & Development,2,Female,1,4,4364,5,3,2,2,0
29,No,Research & Development,3,Female,2,3,4335,11,2,8,7,1
26,Yes,Sales,3,Male,2,1,5326,6,2,4,3,2
34,No,Research & Development,4,Female,1,4,3280,10,3,4,2,3
54,No,Research & Development,4,Female,2,1,5485,9,3,5,3,4
27,No,Sales,1,Male,2,4,4342,5,3,4,2,1
37,No,Research & Development,1,Female,1,1,2782,6,2,5,3,3
38,No,Research & Development,4,Female,2,1,5980,17,3,15,7,12
34,No,Research & Development,4,Female,1,1,4381,6,3,6,5,3
35,No,Sales,4,Female,1,4,2572,3,2,3,2,2
30,No,Research & Development,3,Male,1,3,3833,7,3,2,2,2
40,No,Research & Development,2,Female,2,2,4244,8,3,8,7,7
34,No,Sales,2,Female,2,1,6500,6,3,3,2,2
42,No,Research & Development,3,Male,5,4,18430,24,2,24,7,9
23,Yes,Research & Development,3,Male,1,1,1601,1,3,0,0,0
24,No,Research & Development,3,Male,1,2,2694,1,3,1,0,0
52,No,Research & Development,4,Female,2,3,3149,9,3,5,2,4
50,No,Research & Development,3,Male,4,3,17639,30,3,4,3,3
29,Yes,Research & Development,2,Female,1,1,2319,1,3,1,0,0
33,No,Research & Development,3,Male,3,3,11691,14,4,13,9,7
33,Yes,Sales,3,Female,2,1,5324,6,3,3,2,2
47,No,Research & Development,2,Female,4,4,16752,26,2,26,14,0
36,No,Research & Development,3,Female,2,2,5228,10,3,9,7,5
29,No,Research & Development,2,Male,1,3,2700,10,3,10,7,7
58,Yes,Research & Development,4,Male,5,2,19246,40,3,31,15,8
35,No,Research & Development,4,Female,1,3,2506,7,3,2,2,2
42,No,Research & Development,2,Female,2,4,6062,8,3,4,3,2
28,Yes,Research & Development,4,Male,1,3,4382,5,2,2,2,1
36,No,Human Resources,3,Male,1,2,2143,8,3,5,2,4
32,No,Research & Development,3,Female,2,3,6162,14,3,14,13,8
40,No,Research & Development,4,Male,2,3,5094,10,3,1,0,0
30,No,Research & Development,3,Female,2,4,6877,12,2,0,0,0
45,No,Research & Development,3,Female,1,3,2274,1,3,1,0,0
42,No,Research & Development,3,Male,2,2,4434,10,2,9,8,8
38,No,Research & Development,3,Male,2,1,6288,13,2,4,3,2
34,No,Research & Development,4,Female,1,4,2553,6,3,5,2,3
49,Yes,Sales,3,Female,3,4,7654,9,4,9,8,7
55,Yes,Sales,1,Male,2,4,5160,12,2,9,7,3
43,No,Research & Development,2,Male,4,1,17159,22,3,4,1,0
27,No,Research & Development,1,Male,3,4,12808,9,3,9,8,8
35,No,Research & Development,3,Male,3,3,10221,17,4,8,5,6
28,No,Sales,4,Female,2,2,4779,8,3,8,7,5
34,No,Human Resources,2,Male,1,4,3737,4,1,3,2,2
26,Yes,Research & Development,2,Female,1,3,2366,8,3,8,7,7
27,No,Research & Development,3,Male,1,4,1706,0,2,0,0,0
51,No,Sales,4,Female,4,3,16307,29,2,20,6,17
44,No,Research & Development,3,Male,2,2,5933,10,2,5,2,3
25,No,Research & Development,1,Male,1,1,3424,6,2,4,3,1
33,No,Sales,3,Male,2,1,4037,9,3,9,8,8
35,No,Research & Development,1,Female,1,1,2559,6,2,6,5,1
36,No,Sales,2,Male,2,4,6201,18,2,18,14,11
32,No,Sales,4,Male,2,4,4403,8,2,5,2,3
30,No,Research & Development,4,Male,1,4,3761,10,2,5,4,3
53,No,Sales,2,Female,3,4,10934,35,3,5,2,4
45,No,Sales,3,Male,3,1,10761,18,3,5,4,2
32,No,Research & Development,2,Female,2,3,5175,9,2,5,3,3
52,No,Research & Development,4,Female,4,4,13826,31,3,9,8,0
37,No,Sales,4,Male,2,3,6334,9,3,1,0,0
28,No,Human Resources,2,Male,1,4,4936,6,3,5,1,4
22,No,Research & Development,2,Male,2,4,4775,4,1,2,2,2
44,No,Research & Development,4,Male,1,4,2818,10,2,3,2,2
42,No,Research & Development,1,Male,1,4,2515,8,3,2,1,2
36,No,Human Resources,3,Male,1,1,2342,6,3,5,4,3
25,No,Sales,1,Male,2,1,4194,5,3,5,3,3
35,No,Research & Development,3,Female,3,3,10685,17,3,17,14,15
35,Yes,Research & Development,4,Female,1,2,2022,10,2,10,2,8
32,No,Research & Development,3,Male,1,4,2314,4,3,3,0,2
25,No,Sales,1,Male,2,1,4256,5,4,5,2,3
49,No,Research & Development,3,Female,1,1,3580,7,3,4,2,2
24,No,Research & Development,1,Male,1,4,3162,6,2,5,2,4
32,No,Sales,2,Male,2,2,6524,10,3,10,8,3
38,No,Sales,3,Male,1,2,2899,3,3,2,2,2
42,No,Research & Development,3,Female,2,4,5231,17,2,5,3,3
31,No,Research & Development,4,Male,1,4,2356,8,3,6,4,2
29,Yes,Sales,3,Female,1,3,2800,5,3,3,2,2
53,No,Sales,3,Male,4,4,11836,28,3,2,0,2
35,No,Research & Development,3,Male,3,2,10903,16,3,13,10,8
37,No,Sales,2,Female,1,4,2973,10,3,5,4,0
53,No,Research & Development,4,Female,4,4,14275,33,3,12,9,8
43,No,Research & Development,3,Female,2,4,5562,12,2,5,2,2
47,No,Sales,2,Female,2,4,4537,8,3,7,6,7
37,No,Sales,2,Male,3,2,7642,10,3,10,0,9
50,No,Research & Development,4,Male,4,1,17924,31,3,31,6,7
39,No,Human Resources,3,Female,2,4,5204,13,3,5,4,4
33,No,Human Resources,2,Male,1,2,2277,7,4,4,3,3
32,Yes,Research & Development,4,Male,1,4,2795,1,1,1,0,1
29,No,Research & Development,1,Female,1,4,2532,8,3,4,3,3
44,No,Research & Development,2,Male,1,1,2559,8,3,8,7,1
28,No,Sales,4,Male,2,4,4908,4,3,4,2,2
58,Yes,Research & Development,1,Male,1,4,2380,3,2,1,0,0
43,No,Research & Development,3,Female,2,2,4765,4,4,1,0,0
20,Yes,Sales,3,Female,1,3,2044,2,2,2,2,2
21,Yes,Research & Development,1,Female,1,4,2693,1,2,1,0,0
36,No,Research & Development,1,Male,2,4,6586,17,2,16,8,11
47,No,Sales,4,Female,1,4,3294,3,2,3,2,2
22,Yes,Research & Development,1,Female,2,3,4171,4,4,3,2,2
41,Yes,Research & Development,4,Female,1,4,2778,10,2,7,7,0
28,No,Research & Development,3,Female,1,3,2377,6,3,2,2,2
39,Yes,Research & Development,3,Male,1,1,2404,8,1,2,2,2
27,No,Research & Development,3,Female,1,3,2318,1,3,1,1,0
34,No,Research & Development,3,Male,1,2,2008,1,3,1,0,0
42,No,Sales,2,Female,2,3,6244,10,3,5,4,3
33,No,Research & Development,4,Male,1,1,2799,6,3,3,2,2
58,No,Research & Development,3,Female,3,2,10552,24,3,6,0,4
31,No,Sales,4,Male,1,3,2329,13,4,7,7,2
35,No,Research & Development,1,Female,2,4,4014,10,1,10,6,7
49,No,Research & Development,2,Female,3,2,7403,29,2,26,9,7
48,No,Research & Development,4,Male,1,3,2259,13,2,0,0,0
31,No,Sales,2,Female,2,3,6932,9,2,9,8,0
36,No,Research & Development,4,Male,1,4,4678,8,3,6,2,1
38,No,Research & Development,3,Female,3,1,13582,15,3,15,12,11
32,No,Research & Development,3,Female,1,2,2332,5,3,3,0,2
25,Yes,Sales,2,Male,1,2,2413,1,3,1,0,0
40,No,Sales,4,Male,3,2,9705,11,2,1,0,0
26,No,Sales,3,Male,2,1,4294,7,3,7,7,7
41,No,Research & Development,3,Male,1,1,4721,20,3,18,13,17
36,No,Research & Development,4,Male,1,3,2519,16,3,11,8,9
19,Yes,Sales,3,Male,1,2,2121,1,4,1,0,0
20,Yes,Research & Development,3,Male,1,1,2973,1,3,1,0,0
31,No,Research & Development,3,Female,2,4,5855,10,1,9,7,5
40,No,Research & Development,4,Male,1,2,3617,3,3,1,1,0
32,No,Research & Development,4,Female,2,1,6725,8,4,8,7,3
36,Yes,Sales,1,Male,3,4,10325,16,3,16,7,7
33,No,Research & Development,3,Female,2,4,6949,6,3,5,0,4
37,Yes,Sales,4,Male,3,3,10609,17,1,14,1,7
45,No,Research & Development,2,Male,2,2,4447,9,2,9,7,8
29,No,Sales,3,Female,1,4,2157,3,3,3,1,2
35,No,Sales,3,Female,2,3,4601,5,3,5,2,0
52,No,Research & Development,2,Male,4,4,17099,26,2,9,8,8
58,Yes,Research & Development,3,Male,1,3,2479,7,3,1,0,0
53,No,Sales,2,Male,4,3,14852,22,4,17,13,2
30,No,Sales,2,Male,3,3,7264,10,4,8,4,7
38,No,Sales,3,Female,2,4,5666,6,3,5,3,3
35,No,Sales,4,Male,3,4,7823,12,3,10,9,8
39,No,Sales,5,Male,3,3,7880,9,3,8,7,7
40,Yes,Sales,3,Female,4,2,13194,22,2,1,0,0
47,No,Research & Development,4,Male,2,3,5067,20,4,19,10,7
36,No,Sales,4,Male,2,4,5079,12,3,7,7,7
31,Yes,Research & Development,2,Male,1,1,2321,4,3,3,2,2
33,No,Sales,3,Male,4,3,17444,10,3,10,8,0
29,Yes,Research & Development,3,Female,1,1,2404,3,3,0,0,0
33,No,Research & Development,1,Female,1,4,3452,5,3,3,2,2
45,No,Research & Development,4,Female,1,4,2270,8,3,5,3,2
50,No,Research & Development,2,Male,4,4,17399,32,2,5,4,3
33,No,Research & Development,4,Female,2,2,5488,6,3,6,5,2
41,No,Research & Development,3,Male,5,3,19419,21,4,18,16,11
27,No,Research & Development,4,Female,1,2,2811,4,3,2,2,2
45,No,Research & Development,2,Male,2,1,3633,9,3,9,8,8
47,No,Sales,2,Female,2,4,4163,9,3,9,0,7
30,Yes,Research & Development,3,Female,1,3,2132,7,3,5,2,1
50,No,Research & Development,3,Male,4,3,13973,22,3,12,11,5
38,No,Research & Development,1,Male,1,3,2684,3,2,2,1,2
46,No,Research & Development,2,Male,3,3,10845,13,3,8,7,7
24,No,Research & Development,1,Female,2,3,4377,5,3,4,2,2
35,Yes,Research & Development,4,Male,1,2,3743,5,1,4,2,2
31,No,Research & Development,1,Female,2,1,4148,4,3,4,3,3
18,No,Research & Development,2,Male,1,4,1051,0,3,0,0,0
54,No,Research & Development,3,Female,3,3,10739,22,3,10,7,8
35,No,Research & Development,4,Female,3,3,10388,16,2,16,10,1
30,No,Research & Development,2,Female,3,1,11416,9,2,8,7,7
20,Yes,Research & Development,3,Female,1,1,2600,1,3,1,0,0
30,Yes,Research & Development,3,Female,1,2,2422,4,3,3,2,2
26,No,Research & Development,2,Male,2,4,5472,8,3,8,7,3
22,No,Research & Development,1,Male,1,1,2451,4,2,4,3,1
48,No,Research & Development,3,Male,2,3,4240,19,3,2,2,2
48,No,Research & Development,4,Male,3,3,10999,27,3,15,11,8
41,No,Research & Development,2,Female,2,3,5003,8,3,2,2,1
39,No,Research & Development,1,Female,4,4,12742,21,3,21,6,8
27,No,Research & Development,4,Female,2,4,4227,4,3,3,2,2
35,No,Research & Development,3,Male,1,4,3917,3,2,3,2,2
42,No,Sales,2,Male,5,3,18303,21,4,1,0,0
50,No,Research & Development,3,Male,1,4,2380,8,3,1,0,0
59,No,Research & Development,3,Female,4,4,13726,30,3,5,3,3
37,Yes,Research & Development,2,Female,2,2,4777,15,1,1,0,0
55,No,Research & Development,4,Male,2,2,6385,17,3,8,7,7
41,No,Research & Development,1,Female,5,3,19973,21,3,21,16,10
38,No,Sales,4,Male,2,4,6861,19,3,1,0,0
26,Yes,Sales,2,Male,2,1,4969,7,3,2,2,2
52,Yes,Sales,1,Female,5,4,19845,33,3,32,14,9
44,No,Sales,3,Female,4,4,13320,23,3,12,11,11
50,No,Sales,3,Female,2,3,6347,19,3,18,7,13
36,Yes,Research & Development,4,Female,1,1,2743,18,3,17,13,14
39,No,Research & Development,3,Female,3,1,10880,21,3,21,6,8
33,No,Sales,1,Female,1,4,2342,3,2,2,2,2
45,No,Sales,2,Female,4,4,17650,26,4,9,3,1
32,No,Research & Development,4,Female,1,3,4025,10,3,8,7,7
34,No,Sales,4,Male,2,4,9725,16,2,15,1,9
59,No,Sales,2,Male,3,4,11904,14,1,6,4,4
45,No,Human Resources,4,Male,1,2,2177,6,3,6,3,4
53,No,Sales,3,Female,3,2,7525,30,3,15,7,12
36,Yes,Research & Development,3,Male,2,3,4834,9,2,1,0,0
26,Yes,Research & Development,3,Male,1,1,2042,6,3,3,2,2
34,No,Sales,4,Female,1,3,2220,1,3,1,1,0
28,No,Sales,1,Male,1,2,1052,1,3,1,0,0
38,No,Research & Development,4,Male,1,3,2821,8,3,2,2,2
50,No,Research & Development,4,Male,5,3,19237,29,2,8,1,7
37,No,Research & Development,3,Female,2,2,4107,8,2,4,3,1
40,No,Sales,3,Male,2,1,8396,8,2,7,7,5
26,No,Research & Development,1,Female,1,3,2007,5,3,5,3,3
46,No,Research & Development,4,Male,5,4,19627,23,3,2,2,2
54,No,Sales,4,Female,3,3,10686,13,3,9,4,0
56,No,Research & Development,3,Female,1,3,2942,18,3,5,4,3
36,No,Research & Development,5,Female,3,4,8858,15,2,14,8,8
55,No,Research & Development,1,Male,4,1,16756,31,4,9,7,2
43,No,Sales,3,Male,3,4,10798,18,3,1,0,0
20,Yes,Sales,3,Female,1,4,2323,2,3,2,2,2
21,Yes,Research & Development,3,Female,1,1,1416,1,2,1,0,0
46,No,Research & Development,4,Female,2,1,4615,19,3,16,13,7
51,Yes,Research & Development,4,Male,1,3,2461,18,4,10,0,7
28,Yes,Research & Development,2,Male,3,1,8722,10,2,10,7,9
26,No,Research & Development,2,Male,1,1,3955,6,3,5,3,3
30,No,Research & Development,3,Male,2,1,9957,7,2,6,2,2
41,No,Research & Development,2,Female,1,3,3376,10,3,10,6,8
38,No,Research & Development,1,Female,3,3,8823,20,2,19,9,9
40,No,Research & Development,4,Male,3,4,10322,14,3,11,10,1
27,No,Research & Development,5,Male,1,3,4621,3,3,3,2,2
55,No,Research & Development,1,Male,3,2,10976,23,3,3,2,2
28,No,Research & Development,3,Female,2,3,3660,10,4,8,7,7
44,Yes,Human Resources,2,Male,3,1,10482,24,3,20,6,6
33,No,Research & Development,3,Male,3,4,7119,9,3,3,2,2
35,Yes,Sales,3,Male,3,1,9582,9,3,8,7,7
33,Yes,Research & Development,4,Female,2,3,4508,14,3,13,7,8
28,No,Research & Development,2,Male,1,3,2207,4,2,4,2,2
34,No,Research & Development,1,Male,2,4,7756,7,2,6,2,4
37,No,Sales,4,Female,2,4,6694,8,3,1,0,0
25,Yes,Research & Development,1,Male,1,4,3691,7,4,7,7,6
26,Yes,Research & Development,3,Male,1,3,2377,1,2,1,1,0
33,Yes,Research & Development,3,Male,1,2,2313,5,3,2,2,2
42,No,Research & Development,2,Male,4,1,17665,23,3,22,6,7
28,Yes,Research & Development,3,Male,1,2,2596,1,3,1,0,0
50,Yes,Sales,4,Male,2,3,4728,5,3,0,0,0
33,No,Sales,3,Female,2,2,4302,4,3,3,2,2
34,No,Research & Development,4,Male,1,4,2979,6,3,0,0,0
48,No,Research & Development,4,Male,4,4,16885,27,2,5,4,1
45,No,Sales,4,Female,2,3,5593,15,3,15,10,12
52,No,Research & Development,4,Male,3,2,10445,18,3,8,6,0
38,No,Sales,4,Male,3,3,8740,9,3,8,7,7
29,No,Research & Development,4,Female,1,4,2514,11,3,7,5,7
28,No,Research & Development,3,Female,3,2,7655,10,2,9,7,7
46,No,Sales,1,Male,4,3,17465,23,3,12,9,9
38,No,Sales,2,Male,3,2,7351,10,3,1,0,0
43,No,Research & Development,3,Female,3,1,10820,18,3,8,7,1
39,Yes,Research & Development,3,Male,4,4,12169,21,3,18,7,5
40,No,Research & Development,3,Male,5,3,19626,21,4,20,7,9
21,No,Research & Development,1,Female,1,2,2070,2,4,2,2,2
39,No,Research & Development,3,Male,2,2,6782,9,2,5,4,3
36,No,Research & Development,4,Male,2,4,7779,18,3,11,9,9
31,No,Sales,3,Male,1,4,2791,3,3,2,2,2
28,No,Research & Development,1,Male,1,2,3201,6,1,5,3,4
35,No,Sales,2,Male,2,4,4968,5,3,5,2,2
49,No,Sales,4,Male,4,2,13120,22,3,9,8,3
34,No,Research & Development,2,Male,2,3,4033,5,2,3,2,2
29,No,Research & Development,3,Female,1,2,3291,8,2,7,5,1
42,No,Research & Development,3,Male,2,4,4272,16,3,1,0,0
29,No,Research & Development,1,Male,2,4,5056,10,2,10,7,2
38,No,Human Resources,3,Male,1,3,2844,7,4,7,6,0
28,No,Research & Development,3,Male,1,3,2703,3,3,3,1,2
18,Yes,Research & Development,1,Male,1,3,1904,0,3,0,0,0
33,Yes,Sales,4,Female,2,1,8224,6,3,5,2,3
41,No,Research & Development,4,Male,1,4,4766,6,3,1,0,0
31,Yes,Research & Development,3,Male,1,3,2610,2,2,2,2,2
37,No,Research & Development,2,Female,2,4,5731,9,3,6,2,3
27,No,Research & Development,3,Male,1,3,2539,4,3,4,2,2
34,No,Sales,1,Female,2,3,5714,6,2,6,5,3
35,No,Human Resources,4,Male,1,3,4323,6,1,5,4,4
29,Yes,Sales,1,Female,3,1,7336,11,1,11,8,10
40,No,Research & Development,4,Female,3,3,13499,20,2,18,7,13
42,Yes,Sales,3,Male,4,1,13758,22,2,21,9,14
42,No,Sales,4,Male,2,1,5155,9,4,6,4,5
35,No,Research & Development,4,Male,1,3,2258,10,3,8,0,7
24,No,Research & Development,3,Male,1,2,3597,6,3,4,3,2
28,Yes,Research & Development,1,Female,1,4,2515,1,2,1,1,0
26,No,Research & Development,4,Male,1,4,4420,8,3,8,7,7
30,No,Sales,3,Male,2,3,6578,10,3,10,3,4
40,No,Research & Development,2,Female,2,4,4422,16,1,1,1,0
35,No,Research & Development,3,Male,3,2,10274,15,4,7,7,4
34,No,Research & Development,3,Male,2,1,5343,14,3,13,9,9
35,No,Research & Development,4,Male,1,4,2376,2,4,2,2,2
43,Yes,Sales,3,Female,2,3,5346,7,2,4,3,3
32,No,Sales,1,Female,1,1,2827,1,3,1,0,0
56,No,Research & Development,4,Female,5,1,19943,28,3,5,2,2
29,No,Research & Development,1,Female,1,4,3131,10,3,10,8,8
19,No,Research & Development,2,Male,1,1,2552,1,3,1,1,0
45,No,Research & Development,3,Female,1,3,4477,7,2,3,2,2
37,No,Research & Development,3,Female,2,4,6474,14,2,14,8,11
20,No,Research & Development,3,Male,1,3,3033,2,2,2,2,2
44,Yes,Research & Development,4,Male,1,3,2936,6,3,6,4,2
53,No,Research & Development,2,Female,5,3,18606,26,3,7,7,7
29,No,Research & Development,1,Female,1,4,2168,6,2,5,4,3
22,Yes,Research & Development,4,Male,1,4,2853,1,3,0,0,0
46,No,Sales,3,Female,4,1,17048,28,3,26,15,9
44,No,Research & Development,3,Male,1,3,2290,6,3,0,0,0
33,No,Human Resources,3,Male,1,3,3600,5,3,5,4,4
41,Yes,Research & Development,2,Male,1,1,2107,5,1,1,0,0
30,No,Sales,4,Male,2,1,4115,8,3,4,3,3
40,No,Sales,4,Male,2,2,4327,5,3,0,0,0
50,No,Research & Development,3,Female,4,1,17856,32,3,2,2,2
28,No,Research & Development,4,Male,1,1,3196,6,3,6,5,3
46,No,Research & Development,2,Male,5,2,19081,25,3,4,2,3
35,No,Sales,4,Male,2,1,8966,15,3,7,7,7
24,Yes,Research & Development,2,Female,1,2,2210,1,1,1,0,0
33,No,Sales,3,Female,2,3,4539,10,2,10,7,1
